aauk 工况
adaw 斟茶
afaw 功夫茶
ajdm 幕布
akqq 或多
amww 英谷
aodi 工业大学
aqjt 匿名映射
asxd 基本组成
awlv 共轨
aymd 共享内存
bftk 子进程
blbw 附加险
bnkn 了呢
bolw 函数图像
btkw 耳鼻喉
buto 附着系数
buyx 附着率
bwtk 险种
cfst 驱动桥
cgce 又不能
cmdl 双曲面齿轮
cmdm 双曲面
cwet 难用
cylg 驻车
dbov 原函数
dbto 故障自诊断
dbwt 故障信息
dcyj 右对齐
ddjn 大三电
dflt 压力
dflt 原动力
dgau 三蒂
dgdc 研友
dirn 泵气
dkkh 泵喷嘴
dmad 古典期
dorn 大数据
dqru 硬链接
drbn 太热了
drpb 套接字
dttr 帮我
duyq 有意义
dwjf 百公里
dwtc 有什么
dxds 三纵三横
eejf 月里
faaw 载荷
falk 截圆
fddl 增压压力
fdtk 截面积
ffsm 起动机
ffww 堆雪人
fgrq 真正的
fhfc 起动
fhfp 越过
fhjg 真题
fhjg 越是
fhkf 直喷
fhnj 越慢
fhsg 直槽
fhtj 走得
fjmw 井峪
fjrn 进气
fkdm 坏路面
fndd 专硕
fpla 十字轴式
frjg 进气量
frtp 进气管
fsjg 无标题
ftal 增程式电动汽车
ftkg 进程号
ftmh 都由
fttv 都很
ftud 雾状
ftuj 进程间
fxuk 无缓冲
fxyk 无级变速器
fysu 教育相关
gaww 玛雅人
gaxg 下划线
gaya 开度
gayj 玛雅文明
ggeb 来不及了
gggc 一到
ggty 一簇
ggwh 一个
gipu 不被
giqu 开源镜像站
gitf 还行
gmaq 两匹
gmgn 再与
gmkj 不见踪影
gmlm 两轴
gmmh 再由
gmww 平凡人
gqaw 青岛英谷
grjg 互斥量
groa 玩捉迷藏
gsnk 还可以吧
gsty 开机自启
gtaa 球笼式
gtli 五笔输入法
gutq 平稳
gxbm 不弹出
gykv 不良嗜好
hhgb 卡顿
hjqx 瞬时角速度比
huia 卡门涡流式
huii 卡门涡流
huiy 卡门涡流式空气流量计
hwym 齿高
iarn 水蒸气
iasm 测功机
ielh 肖四
ieyg 常用语
ieyn 常用词
igfj 浅井
iiij 消渴
ikxp 溃缩
ilab 汽车工程学院
ilgy 汽车理论
ilpc 汽车实验
ilpi 汽车实验学
ilyy 汽车设计
imlf 滑转
imsa 滑模
ipbn 学了
ipdd 学硕
iqgo 溜来
iqyp 小狼毫
itiu 流鼻涕
ityx 滑移率
iubb 滚子
iuga 滚道型
iuut 滚道
iuyq 没意义
ivxa 染红
ixaa 溃缩式
jbwf 电阻值
jdwf 电压值
jesm 暖机
jfil 电动汽车
jfrq 时的
jfyx 时率
jllg 临界车速
jqaw 晚茶
jrtx 电控系统
jwkg 电信号
jwri 最低挡
jyri 最高挡
kefh 吸起
kfbn 喷孔
kfim 喷油
khrs 跟打
khwm 路侧
kidl 喷油压力
kifj 吕兴坤
kkkk 啷咯哩咯啷
kkkk 哔哩哔哩
kykt 啷咯
kytw 中文简体
lbmq 车联网
lgbw 车险
lggn 车与
lgkh 车与路
lgkh 车路
lglg 车与车
lgst 车桥
lkfm 车路协同
lkfx 车路协同系统
lkfy 车路协同设计
lklg 回车
llam 车辆工程车联网
llat 车辆工程
lmqf 轴针
lmtm 轴向
lpyl 连为
lqru 软链接
ltkk 转向器
ltlw 转向轮
lwgk 轮速
maqk 曲名
maub 山东交通学院
mdjt 内存映射
mdsi 山胡桃
mfrh 几十年
mirn 风清扬
mqya 刚度
mwbn 内孔
nfsg 发动机转速
nmpf 刷完
oiid 燃油消耗
oixn 燃油经济性
ooji 燃料电池
oojl 燃料电池汽车
ovfg 数二
ovgg 数一
ovgt 精灵五笔
owgf 类似于
pdbm 豁出
pdpd 宸宸
pfwc 塞翁
priy 空气流量计
puqn 安装包
puwg 补全
puyk 实训
pxjg 它是
qdaw 乌龙茶
qerp 触控
qeud 触头
qfuw 针阀
qglt 乌班图
qgya 角速度
qhdh 外存
qhum 外端
qmsg 铅酸
qqaq 金菊
qqbn 多了
qqft 多雾
qqrq 多的
qrue 多年前
qtkw 色香味俱全
quel 独立悬架
qwwb 销售保险
qybb 锂离子
qybi 锂离子电池
qyjf 卵里
qykn 枭叫
rawt 找工作
raya 挠度
rfkk 制动器
rfuc 制动效能
ridy 年少有为
rjaa 插电式
rjwh 的时候
rltm 白车身
rlwf 返回值
rmmw 缸内
rmvn 抽刀
rnhk 所占
rntm 所向
rqgq 抱死
rqli 搜狗输入法
rqwg 反馈修正
rrnk 气缸壁
rrtl 控制策略
rstf 打造
rstw 描述符
rtlt 手力
rttu 招生简章
rugy 气门开度
ruyw 气门座
rwdk 氧传感器
rwjg 氧含量
rwqa 氧化钛式
rwww 投保人
rxaa 热线式
rxnt 操纵性
scgf 相对于
sdwf 极大值
serq 可爱的
sgfc 极速云
sgfr 极速云跟打
shvb 想好
sjtg 查重
srsw 配气相位
ssdg 机械原理
stdm 标签页
stfp 桥壳
subu 相关联
syqi 李永乐
sysw 可变配气相位
tcml 智能网联汽车
tcuc 智能交通
telg 乘用车
tfgd 第二天
tfgk 等速
tfuj 第二章
tfuq 第二次
tgdw 循环寿命
tghh 算不上
tgjf 千瓦时
tguj 第五章
tluj 第四章
tnwn 复习全书
tpym 长宽高
trcf 我对
trrm 选控制
tuit 科潘
tunn 简书
tvuj 第九章
twpb 生僻字
twuj 第八章
twww 每个人
txgg 每一
txuk 行缓冲
txye 系统调用
tyfc 自启动
tyjy 自放电率
tyon 自诊断
uapu 并被
uart 章节排版
ucid 新能源
ucil 新能源汽车
uctx 交通系统
ucuw 旁通阀
udji 状态监测
uelg 商用车
uewy 前俯
ugkk 减速器
ugrq 美丽的
ugya 减速度
uiaa 半浮式
ukuc 道路交通
ulbw 新车险
upwq 曾祖父
urjg 总质量
urkk 减振器
uuyx 逆效率
uwju 单位时间
uxfb 单纯地
vfrt 如雨后春笋般
vgms 那一朵
vktg 如生
vpst 九宫格
wcdi 储能泵
wckk 储能器
wdtf 传感和诊断模块
wedw 使用寿命
wegf 借助于
wegh 作用下
wema 使用周期
wftk 父进程
wftx 传动系统
wfuq 会将
wgdj 任正非
wggi 便不
wgpu 全被
wgtj 使得
wgwf 便会
whww 仆从
wiaa 全浮式
wjud 倒时差
wkdf 保压
wkjg 信号量
wmtm 侧向
wmwx 侧倾
wnoo 分层燃烧
wqyu 你说
wsny 您可以
wtlt 侧向力
wtws 斜体
wwfc 从动
wwkh 丛中
wwkn 侧倾中心
wwqe 侧倾角
wxuk 全缓冲
wyce 储能
xaal 红莲
xgwa 线代
xhql 弧齿锥齿轮
xifc 纯滚动
xjbb 幺蛾子
xjfl 纯电动汽车
xnwo 线性代数
xrhw 弧齿
xwwf 纵会
xwwq 给你
xyrt 统搬
xyws 统计分析
yaai 广东工业大学
yfhl 主动齿轮
yift 就都
yltd 为知
yput 这首
ypyw 这座
yqji 高铁电池
yslg 主要因素
ywdc 敲代码
ywnu 变化情况
ywrt 文件描述符
ywtx 文件系统
yyww 广州人
